Title,Title_link,Thumbnail,reviewCountContainer_2EO6o,Price,price_FHDfG,availabilityMessageSearch_23ZLw,salePrice_kTFZ3,productSaving_3YmNX,availabilityMessageSearchPickup_2eGze
"Dell XPS 13.3"" Laptop - Platinum Silver (Intel Core i7-10710U/512GB SSD/16GB RAM/Windows 10) - Open Box",https://www.bestbuy.ca/en-ca/product/dell-xps-13-3-laptop-platinum-silver-intel-core-i7-10710u-512gb-ssd-16gb-ram-windows-10-open-box/14542756,,(0 Reviews),"$1,614.99","$1,614.99",Available online only,"$1,614.99",SAVE $185,
"Microsoft Surface 3 13.5"" Touchscreen Laptop - Matte Black (Intel Core i7-1065G7/512GB SSD/16GB RAM) - English",https://www.bestbuy.ca/en-ca/product/microsoft-surface-3-13-5-touchscreen-laptop-matte-black-intel-core-i7-1065g7-512gb-ssd-16gb-ram-english/13949389,,(6 Reviews),"$2,689.99","$2,689.99",Available online,,,Sold out in nearby stores
"HP ENVY 13.3"" Laptop -Silver (Intel Core i5-8265U/256GB SSD/8GB RAM/Windows 10) - Open Box",https://www.bestbuy.ca/en-ca/product/hp-envy-13-3-laptop-silver-intel-core-i5-8265u-256gb-ssd-8gb-ram-windows-10-open-box/13986357,,(0 Reviews),$949.95,$949.95,Available online only,,,
"Microsoft Surface 3 13.5"" Touchscreen Laptop - Matte Black (Intel Core i5-1035G7/256GB SSD/8GB RAM) - French",https://www.bestbuy.ca/en-ca/product/microsoft-surface-3-13-5-touchscreen-laptop-matte-black-intel-core-i5-1035g7-256gb-ssd-8gb-ram-french/13949378,,(0 Reviews),"$1,529.99","$1,529.99",Available online,"$1,529.99",SAVE $200,Sold out in nearby stores
"HP Pavilion 13.3"" Laptop - Mineral Silver (Intel Core i5-8265U/256GB SSD/8GB RAM) - Open Box",https://www.bestbuy.ca/en-ca/product/hp-pavilion-13-3-laptop-mineral-silver-intel-core-i5-8265u-256gb-ssd-8gb-ram-open-box/13506525,,(0 Reviews),$849.99,$849.99,Available online only,,,
"Certified Refurbished-Microsoft Surface Laptop 1st Gen,7th Gen i7/8GB RAM/256GB SSD/Win10 Pro/Touch Screen-Cobalt Blue",https://www.bestbuy.ca/en-ca/product/certified-refurbished-microsoft-surface-laptop-1st-gen-7th-gen-i7-8gb-ram-256gb-ssd-win10-pro-touch-screen-cobalt-blue/14472647,,(0 Reviews),"$1,249.99","$1,249.99",Available online only,"$1,249.99",SAVE $449,
"Dell Latitude E7240 12.5"" TOUCH Ultrabook, Intel Core i5-4300U CPU, 8GB RAM, 256GB Solid State Drive Wins 10 Pro - Refurbished",https://www.bestbuy.ca/en-ca/product/dell-latitude-e7240-12-5-touch-ultrabook-intel-core-i5-4300u-cpu-8gb-ram-256gb-solid-state-drive-wins-10-pro-refurbished/14417639,,(0 Reviews),$550.97,$550.97,Available online only,$550.97,SAVE $249,
"TOSHIBA Tecra Z30-B 13"" Laptop, Intel Core i7-5600U, 8GB RAM, 256GB SSD, Windows 10 Pro, REFURBISHED",https://www.bestbuy.ca/en-ca/product/toshiba-tecra-z30-b-13-laptop-intel-core-i7-5600u-8gb-ram-256gb-ssd-windows-10-pro-refurbished/14471069,,(0 Reviews),$599.99,$599.99,Available online only,$599.99,SAVE $400,
"Microsoft Surface 3 13.5"" Touchscreen Laptop - Sandstone (Intel Core i7-1065G7/512GB SSD/16GB RAM) - English",https://www.bestbuy.ca/en-ca/product/microsoft-surface-3-13-5-touchscreen-laptop-sandstone-intel-core-i7-1065g7-512gb-ssd-16gb-ram-english/13949391,,(2 Reviews),"$2,689.99","$2,689.99",Available online,,,Sold out in nearby stores
"Microsoft Surface 3 13.5"" Touchscreen Laptop - Platinum (Intel Core i7-1065G7/512GB SSD/16GB RAM) - English",https://www.bestbuy.ca/en-ca/product/microsoft-surface-3-13-5-touchscreen-laptop-platinum-intel-core-i7-1065g7-512gb-ssd-16gb-ram-english/13949367,,(5 Reviews),"$2,689.99","$2,689.99",Available online,,,Sold out in nearby stores
"Lenovo ThinkPad X201 12.1"" Laptop, Intel Core i5 520M up to 2.93G, 4G DDR3, 320G, VGA,Win10 Home 64 Bit (EN/FR/ES)-Refurbished",https://www.bestbuy.ca/en-ca/product/lenovo-thinkpad-x201-12-1-laptop-intel-core-i5-520m-up-to-2-93g-4g-ddr3-320g-vga-win10-home-64-bit-en-fr-es-refurbished/14538957,,(0 Reviews),$321.98,$321.98,Available online only,$321.98,SAVE $161,
"Lenovo Yoga C930 Glass 13.9"" 2-in-1 Laptop, Intel Core i7-8550U 1.80GHz, up to 4.0GHz with Turbo Boost, 12GB RAM, 256GB SSD",https://www.bestbuy.ca/en-ca/product/lenovo-yoga-c930-glass-13-9-2-in-1-laptop-intel-core-i7-8550u-1-80ghz-up-to-4-0ghz-with-turbo-boost-12gb-ram-256gb-ssd/14415200,,(181 Reviews),"$1,959.99","$1,959.99",Available online only,"$1,959.99",SAVE $200,
"Dell 13.3"" Laptop - Platinum Silver (Intel Core i5-10210U/256GB SSD/8GB RAM/Windows 10) - Open Box",https://www.bestbuy.ca/en-ca/product/dell-13-3-laptop-platinum-silver-intel-core-i5-10210u-256gb-ssd-8gb-ram-windows-10-open-box/14542680,,(0 Reviews),$807.99,$807.99,Available online only,$807.99,SAVE $92,
