Title,Thumbnail,Price
"ASUS TUF FX505DD-RB71-CB 15.6” Gaming Laptop with AMD Ryzen 7-3750H, 1TB SSHD, 8GB RAM, NVIDIA GTX 1050 & Windows 10 - Black",https://www.thesource.ca/medias/20190709141710-108082707-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wyODA5NnxpbWFnZS9qcGVnfGltYWdlcy9oOTMvaGM3LzkxNjkyOTMwODI2NTQuanBnfDJhZjJjNjZiNmU1MjM3NjY2MTA3MWIyMGRlNTllYzg1YWQ0NGY1MDFlOGQ3NTIwZTA4NTFiMmU0ZDQ3YzY0ZGI,"$1,099.99"
"ASUS VivoBook X540UA-TH31T-CB 15.6” Touchscreen Laptop with Intel® i3-7020U, 1TB SSHD, 8GB RAM & Windows 10 - Chocolate Black & Gold",https://www.thesource.ca/medias/20191101101121-108084408-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wxMDkyMXxpbWFnZS9qcGVnfGltYWdlcy9oYWUvaDBjLzkxOTAzODE4NDY1NTguanBnfDlmM2E1YjA4ZTEwMWI4NDcxNDgwOWI1MjkzZDdmYTNhNWM4MGE3OGY1OTczM2RkYjE4N2NlYTM0MTgyZDFiNDI,$699.99
"ASUS X509JA-TS31-CB 15.6” Laptop with Intel® i3-1005G1, 256GB SSD, 8GB RAM & Windows 10 - Slate Grey",https://www.thesource.ca/medias/20200205095927-108086849-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3w5NTg3fGltYWdlL2pwZWd8aW1hZ2VzL2hjNi9oMDEvOTIyNjQwODAzNDMzNC5qcGd8MjUzNThmNjAyOTE2ZjBlMjk2M2ZlMzZkODlmZDBiYjNmYzA1ZTJmNWIyY2ZmNTM4NDU3ZDY2NTMzZWFmZTQyYw,$599.99
"ASUS X509JA-TS51-CB 15.6” Laptop with Intel® i5-1035G1, 1TB HDD, 8GB RAM & Windows 10 - Slate Grey",https://www.thesource.ca/medias/20200205095927-108086850-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3w5NTg3fGltYWdlL2pwZWd8aW1hZ2VzL2hmZi9oZDUvOTIyNjQwOTYwNzE5OC5qcGd8OGI1N2E4MWYyMWU4MDc4MTlhYmNlNjBlOGRlMjVkOWU0M2RiNTA4ZWYyMmYyNGEzNzk0NmQ4NDA1NjIyMWQxNQ,$699.99
"HP 15-DA2001CA 15.6” Laptop with Intel® i3-10110U, 1TB HDD, 128GB SSD, 8GB RAM & Windows 10 Home",https://www.thesource.ca/medias/20191010164219-108084987-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3w5MjQ3fGltYWdlL2pwZWd8aW1hZ2VzL2g4Ny9oNjAvOTE4NTg4ODg5NTAwNi5qcGd8MDlmMGE1Mjc4NDQ3ODcwNzhlMjc5M2U2ZmYyMGE5NzBmZTYzMmQxYWJjNGEyZjkwOTM3ZjhlNzczMWIzNDE0ZA,$649.99
"ASUS VivoBook Flip 14 J401MA-YS02 14” Touchscreen Laptop with Intel® N4000, 64GB eMMC, 4GB RAM & Windows 10 Home in S mode - Light Grey",https://www.thesource.ca/medias/20190301095638-108081048-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wyODEwN3xpbWFnZS9qcGVnfGltYWdlcy9oOWUvaDc3LzkxNDY1MTI3MDM1MTguanBnfDc5YmJlMDU3MGVkYzhhNTVjY2VmNzc0MTMxYTY3Y2IwY2Y4NTY1MjlhNjI2NjkxOTI1MTUwYTJmNjI3ODhlYzY,$449.99
"Acer Swift 5 SF515-51T-73PI 15.6” Touchscreen Laptop with Intel® i7-8565U, 256GB SSD, 8GB RAM & Windows 10 Home - Silver",https://www.thesource.ca/medias/20190711142319-108082527-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wzMjk3M3xpbWFnZS9qcGVnfGltYWdlcy9oNmMvaDBkLzkxNjk2NzE5NDYyNzAuanBnfDQzMzk1ZjZjNjUyZjAxZTZiYzk5N2NkOGQxZjdhMzUzMTQ3ZDYwNGU4ZDU4ZGZjY2JiYWQ0NTY2MzQ5MWUzZWU,"$1,199.99"
"Acer Chromebook 11 CB3-132-C6ZD 11.6” Laptop with Intel® N3060, 16GB eMMC, 4GB RAM & Chrome OS - White",https://www.thesource.ca/medias/20180814140547-108076478-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wyOTU1MXxpbWFnZS9qcGVnfGltYWdlcy9oYTIvaGQ3LzkwOTAyNzgyMjc5OTguanBnfDM5ZjkxMTZjZDg1NGU4YjMwYTNjODljN2ZjODQxZDU4M2FkMzA0NTIyYTA1Mzg0MGZlNjRhYjVlODY3NjAyYTg,$279.99
"ASUS VivoBook Max X441UA-SB51-CB 14"" Laptop with Intel® i5-7200, 1TB HDD, 8GB RAM & Windows 10 - Chocolate Black & Gold",https://www.thesource.ca/medias/20180322094529-108074749-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3w2MDY1fGltYWdlL2pwZWd8aW1hZ2VzL2hiNC9oYzIvOTA1NzcyNzYxMDkxMC5qcGd8YmYwZjJmMWVmYTk3YTEwZjNlZDcyODVmMzE2ZjY2YjVkNTg1Yjc0MWY5OTNiNGEzMTczMWZkODIzNzZlNjQ0Mw,$749.99
"HP Spectre x360-13-ae010ca 13.3” Laptop with Intel® i5-8250U, 256GB SSD, 8GB RAM & Windows 10 - Silver",https://www.thesource.ca/medias/20171019091455-108073339-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3w0NDczfGltYWdlL2pwZWd8aW1hZ2VzL2hiOS9oYWIvOTAxMDgwNzQ3MjE1OC5qcGd8MDc3MzZhMWExMGQzZWUyZmIwOTZlZGRlMTRjMzZmNWVkYTIwZjQxMmExMDg2NWE3MzMyZGUyOGE2ZmQ1OGY0MA,"$1,549.99"
